#,Score,Horizontal,Vertical,ID,Series,Sort,Target,Figure,TargetID,ShotNr,X,Y,T,A,B,C,D,TimeStamp,TimeSince,HWCount,TurnCount,Band,Sensor,Flag0,Flag1,A2,B2,C2,D2
49,10.5,-2.40,2.47,49,2,0,1,0,4,8244,-1081657610.0,1066079238.0,16,23,23,23,23,1714097,847,47,1,15,65,18,8,0,0,0,0
50,10.1,-5.35,-4.77,50,2,0,1,0,4,8245,-1072256098.0,-1073332433.0,16,22,23,23,23,1717685,847,32,1,15,65,18,8,0,0,0,0
51,10.3,2.37,4.18,51,2,0,1,0,4,8246,1065699169.0,1072409335.0,16,24,23,23,23,1721658,847,33,1,15,65,18,8,0,0,0,0
52,10.2,-5.49,-1.89,52,2,0,1,0,4,8247,-1072002332.0,-1084983550.0,16,23,23,24,23,1725428,847,34,1,15,65,18,8,0,0,0,0
53,9.7,5.01,-8.34,53,2,0,1,0,4,8248,1074593298.0,-1066747625.0,16,24,23,23,23,1729413,847,35,1,15,65,18,8,0,0,0,0
54,10.2,-1.59,6.05,54,2,0,1,0,4,8249,-1087135702.0,1076526009.0,16,23,23,23,23,1734163,847,37,1,15,65,18,8,0,0,0,0
55,9.9,-8.24,1.68,55,2,0,1,0,4,8250,-1066936673.0,1060979796.0,16,22,23,23,23,1738263,847,38,1,15,65,18,8,0,0,0,0
56,10.2,0.55,-6.07,56,2,0,1,0,4,8251,1048000914.0,-1070925913.0,16,23,23,23,23,1741520,847,39,1,15,65,18,8,0,0,0,0
57,10.6,-2.45,0.05,57,2,0,1,0,4,8252,-1081467564.0,1018785626.0,16,23,23,24,23,1745606,847,40,1,15,65,18,8,0,0,0,0
58,10.9,0.50,-0.38,58,2,0,1,0,4,8253,1046989824.0,-1104544776.0,16,23,23,23,23,1751484,847,41,1,15,65,18,8,0,0,0,0
59,10.3,3.33,-4.01,59,2,0,1,0,4,8254,1069243859.0,-1075707575.0,16,23,23,23,23,1756220,847,42,1,15,65,18,8,0,0,0,0
60,10.5,0.34,3.25,60,2,0,1,0,4,8255,1041925847.0,1068991193.0,16,23,23,23,23,1762516,847,43,1,15,65,18,8,0,0,0,0
61,9.9,-8.27,-0.31,61,2,0,1,0,4,8256,-1066873227.0,-1106571975.0,16,22,23,23,23,1766104,847,44,1,15,65,18,8,0,0,0,0
62,10.6,-1.99,-2.16,62,2,0,1,0,4,8257,-1084223009.0,-1082957028.0,16,23,23,23,23,1768704,847,45,1,15,65,18,8,0,0,0,0
63,10.4,-0.72,4.46,63,2,0,1,0,4,8258,-1096663098.0,1073422443.0,16,23,23,24,23,1772227,847,46,1,15,65,18,8,0,0,0,0
64,10.5,0.24,-3.70,64,2,0,1,0,4,8259,1037587931.0,-1076846592.0,16,22,23,22,23,1776330,847,47,1,15,65,18,8,0,0,0,0
65,10.9,0.41,0.58,65,2,0,1,0,4,8260,1043952264.0,1048796116.0,16,23,23,24,23,1779247,847,32,1,15,65,18,8,0,0,0,0
